[2025-06-10 04:41:34] [INFO    ] discord.client: logging in using static token
[2025-06-10 04:41:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-06-10 04:41:34] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-06-10 04:41:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '891715760139935815', 'username': 'XSCAPE STORE !', 'avatar': '843ca3174985ab58a9d1c2e606ed0c03', 'discriminator': '4729', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'a_ec73435aa2041a94493d81afe91e8086', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-06-10 04:41:35] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-06-10 04:41:35] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-06-10 04:41:35] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '891715760139935815', 'name': 'XSCAPE STORE', 'icon': '843ca3174985ab58a9d1c2e606ed0c03', 'description': 'XSCAPE STORE !', 'type': None, 'bot': {'id': '891715760139935815', 'username': 'XSCAPE STORE !', 'avatar': '843ca3174985ab58a9d1c2e606ed0c03', 'discriminator': '4729', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'a_ec73435aa2041a94493d81afe91e8086', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': False, 'bot_require_code_grant': False, 'integration_types_config': {'0': {}}, 'verify_key': 'c8e9221213b63977bb3f6e41f1540f88e9789171f19a5adeaa2ce67ac2f1b528', 'flags': 557056, 'tags': ['⭐'], 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '423032174413873163', 'username': 'arzsya', 'avatar': '09e1ec1731cc9ae4ce8d1fb6a891f7f7', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': 2779336, 'global_name': 'Arzsss', 'avatar_decoration_data': {'asset': 'a_e574b8ba0f477f7cac8d24d6797abf65', 'sku_id': '1374394443997642803', 'expires_at': 1753743600}, 'collectibles': None, 'banner_color': '#2a68c8', 'clan': {'identity_guild_id': '1369761177307189299', 'identity_enabled': True, 'tag': 'Maﬁa', 'badge': 'bcdfb5747808d47637c88eb3499f06e0'}, 'primary_guild': {'identity_guild_id': '1369761177307189299', 'identity_enabled': True, 'tag': 'Maﬁa', 'badge': 'bcdfb5747808d47637c88eb3499f06e0'}}, 'approximate_guild_count': 3, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': False, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 198, 'monetization_state': 1, 'verification_eligibility_flags': 90908, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-06-10 04:41:35] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-06-10 04:41:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-62n5",{"micros":0.0}]']}}
[2025-06-10 04:41:35] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-06-10 04:41:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-10 04:41:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'XSCAPE STORE !', 'primary_guild': None, 'mfa_enabled': False, 'id': '891715760139935815', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4729', 'clan': None, 'bot': True, 'avatar': '843ca3174985ab58a9d1c2e606ed0c03'}, 'session_type': 'normal', 'session_id': '2080a2a2e2c0aff2dfdf156b2a1dec61', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '891344785481285753'}, {'unavailable': True, 'id': '1325215730873929770'}, {'unavailable': True, 'id': '1377509961680027772'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['singapore', 'hongkong', 'india', 'sydney', 'japan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '891715760139935815', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-b-62n5",{"micros":1377891,"calls":["id_created",{"micros":522,"calls":[]},"session_lookup_time",{"micros":407,"calls":[]},"session_lookup_finished",{"micros":36,"calls":[]},"discord-sessions-prd-2-115",{"micros":1376562,"calls":["start_session",{"micros":1354037,"calls":["discord-api-rpc-58b6b6ffb7-978bv",{"micros":1308592,"calls":["get_user",{"micros":39823},"get_guilds",{"micros":11787},"send_scheduled_deletion_message",{"micros":12},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":13},"pending_payments",{"micros":26188},"apex_user_experiments",{"micros":6},"user_activities",{"micros":4},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":42,"calls":[]},"presence_started",{"micros":2714,"calls":[]},"guilds_started",{"micros":100,"calls":[]},"lobbies_started",{"micros":0,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":19651,"calls":[]},"connect_finished",{"micros":19656,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-06-10 04:41:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-10 04:41:37] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 2080a2a2e2c0aff2dfdf156b2a1dec61).
[2025-06-10 04:41:37] [DEBUG   ] discord.client: Dispatching event connect
